t1_ID,t1_Zeit,t1_Last,t1_Takt
1,2022-03-21 14:01:54,5.1,3201.0
2,2022-03-21 14:01:55,2.7,3201.0
3,2022-03-21 14:01:56,2.7,3201.0
4,2022-03-21 14:01:57,4.7,3201.0
5,2022-03-21 14:01:58,30.9,3201.0
6,2022-03-21 14:01:59,22.2,3201.0
7,2022-03-21 14:02:00,16.5,3201.0
8,2022-03-21 14:02:01,7.8,3201.0
9,2022-03-21 14:02:02,14.7,3201.0
10,2022-03-21 14:02:03,13.8,3201.0
11,2022-03-21 14:02:04,14.7,3201.0
12,2022-03-21 14:02:05,9.6,3201.0
13,2022-03-21 14:02:06,3.5,3201.0
14,2022-03-21 14:02:07,14.9,3201.0
15,2022-03-21 14:02:08,5.9,3201.0
16,2022-03-21 14:02:10,19.1,3201.0
17,2022-03-21 14:02:11,9.0,3201.0
18,2022-03-21 14:02:12,18.2,3201.0
19,2022-03-21 14:02:13,0.4,3201.0
20,2022-03-21 14:02:14,12.3,3201.0
21,2022-03-21 14:02:15,1.2,3201.0
22,2022-03-21 14:02:16,22.3,3201.0
23,2022-03-21 14:02:17,4.3,3201.0
24,2022-03-21 14:02:18,5.5,3201.0
25,2022-03-21 14:02:19,7.0,3201.0
26,2022-03-21 14:02:20,4.6,3201.0
27,2022-03-21 14:02:21,10.5,3201.0
28,2022-03-21 14:02:22,14.1,3201.0
29,2022-03-21 14:02:23,16.5,3201.0
30,2022-03-21 14:02:24,14.8,3201.0
31,2022-03-21 14:02:25,15.6,3201.0
32,2022-03-21 14:02:26,4.7,3201.0
33,2022-03-21 14:02:27,8.1,3201.0
34,2022-03-21 14:02:28,31.7,3201.0
35,2022-03-21 14:02:29,16.4,3201.0
36,2022-03-21 14:02:30,28.6,3201.0
37,2022-03-21 14:02:31,8.0,3201.0
38,2022-03-21 14:02:32,11.8,3201.0
39,2022-03-21 14:02:33,18.1,3201.0
40,2022-03-21 14:02:34,10.0,3201.0
41,2022-03-21 14:02:35,27.7,3201.0
42,2022-03-21 14:02:36,16.5,3201.0
43,2022-03-21 14:02:37,28.4,3201.0
44,2022-03-21 14:02:38,13.8,3201.0
45,2022-03-21 14:02:39,9.9,3201.0
46,2022-03-21 14:02:40,3.1,3201.0
47,2022-03-21 14:02:41,7.7,3201.0
48,2022-03-21 14:02:42,10.1,3201.0
49,2022-03-21 14:02:43,20.8,3201.0
50,2022-03-21 14:02:44,17.8,3201.0
51,2022-03-21 14:02:45,26.7,3201.0
52,2022-03-21 14:02:46,7.4,3201.0
53,2022-03-21 14:02:47,12.5,3201.0
54,2022-03-21 14:02:48,36.7,3201.0
55,2022-03-21 14:02:49,6.2,3201.0
